Date,Close,High,Low,Open,Volume
2011-05-05,0.4276801645755768,0.43272247120321433,0.41828311747500585,0.4240130175796665,544000000
2011-05-06,0.4428071081638336,0.4469326416699545,0.4331808542087787,0.436618794243493,841080000
2011-05-09,0.45266249775886536,0.45495445755938085,0.4430362447388475,0.4441822246391052,706328000
2011-05-10,0.4533500373363495,0.4567879766289295,0.4487660909572634,0.4563295901877147,690976000
2011-05-11,0.4554128646850586,0.4602259640907832,0.44922457840780283,0.45564207160441955,616000000
2011-05-12,0.46985214948654175,0.4703105632588602,0.452662452693998,0.4538084324801676,1224000000
2011-05-13,0.4185121953487396,0.4412026106407233,0.41530346299907517,0.44005663089836994,2025192000
2011-05-16,0.4056772291660309,0.41828303420922025,0.4054480496008576,0.4173662339815867,728188000
2011-05-17,0.4040728509426117,0.4045312373816838,0.3923838464735537,0.4043020578233041,1420364000
2011-05-18,0.41346994042396545,0.4169078800707351,0.4043021013659132,0.4056772608312317,658844000
2011-05-19,0.4075108766555786,0.41690792360015555,0.4013225901097365,0.41667871667084644,650884000
2011-05-20,0.4146159291267395,0.4155327021231219,0.40476049646520623,0.40659406978028717,575820000
2011-05-23,0.414157509803772,0.41713706278933926,0.4033852776773122,0.40865679029449836,588000000
2011-05-24,0.41576188802719116,0.43249319928319874,0.41507429465348666,0.4162202745022226,720372000
2011-05-25,0.4208042621612549,0.4235546361022466,0.40957364142839003,0.4136991750175584,545312000
2011-05-26,0.43134716153144836,0.43501430748406034,0.41965815771452,0.4208041374094223,706436000
2011-05-27,0.44693270325660706,0.4476202695004406,0.4327225272971256,0.4331809139004555,658824000
2011-05-31,0.45930925011634827,0.45953848438750156,0.4446407157714037,0.4556421301912725,1200716000
2011-06-01,0.43868154287338257,0.45793402206625033,0.4377647425371603,0.4572464286446628,762208000
2011-06-02,0.43661877512931824,0.442577881857541,0.4313472618424008,0.4393691488945395,607592000
2011-06-03,0.4230961501598358,0.4354727488190963,0.421033397377783,0.4315764228294885,549300000
2011-06-06,0.414157509803772,0.42630490131581467,0.41369909601959703,0.42240857540652543,435988000
2011-06-07,0.41392841935157776,0.4196583200424712,0.4120948456660275,0.41736635976611386,433956000
2011-06-08,0.4026978313922882,0.4143868407114028,0.39948909766508856,0.4118657005892671,569288000
2011-06-09,0.39811378717422485,0.4033853000842287,0.38367443522849803,0.4024685271095826,741632000
2011-06-10,0.39238399267196655,0.40132265451473675,0.3891752317582839,0.39880148717700914,493548000
2011-06-13,0.38963356614112854,0.39742621888477536,0.38688319239883695,0.3923839125611029,574760000
2011-06-14,0.39284229278564453,0.401551745744671,0.3912379263432147,0.39307149970127025,534576000
2011-06-15,0.38436198234558105,0.38986267417583576,0.3763400968327986,0.38757071469284426,935916000
2011-06-16,0.3710686266422272,0.39055031177948357,0.3655679341881111,0.3845912055189284,1024908000
2011-06-17,0.3623591959476471,0.3756525960429367,0.3508993965437598,0.3754233891259322,1467884000
2011-06-20,0.3580043911933899,0.3667138419688488,0.35525401818470076,0.3591503708395737,745960000
2011-06-21,0.3657970428466797,0.36854741586279866,0.3559416123984135,0.35937955134625216,704276000
2011-06-22,0.36075475811958313,0.36808902282251005,0.3600671648269281,0.3632759244185478,651720000
2011-06-23,0.37152692675590515,0.37404806530823775,0.3529620202680336,0.3561707793196028,744024000
2011-06-24,0.36075475811958313,0.37290214854878384,0.358462798692274,0.36969341627947566,529052000
2011-06-27,0.3531913459300995,0.36304677858906975,0.3405855396380651,0.3607548187763937,1142152000
2011-06-28,0.3552541136741638,0.3593796469737979,0.3506701938573076,0.35319136068550544,692200000
2011-06-29,0.36075475811958313,0.3644219041322023,0.3451694285494187,0.35754599852796337,960544000
2011-06-30,0.3653387129306793,0.36923503887611725,0.35617087431914807,0.3616715665571411,652300000
2011-07-01,0.3701518476009369,0.371527034353061,0.3580044556982233,0.3653387212908173,540804000
2011-07-05,0.3639637231826782,0.3731315660675135,0.36075496177958966,0.3696936249857003,535296000
2011-07-06,0.3591504395008087,0.3644219523455072,0.354795699619399,0.36373435896188305,529580000
2011-07-07,0.36052563786506653,0.3628175978430245,0.35410814446232064,0.3609840517185126,986136000
